gid,row,col,xcoord,ycoord,agri_gc,cmr_max,cmr_mean,cmr_min,cmr_sd,imr_max,imr_mean,imr_min,imr_sd,landarea,petroleum_s,ttime_max,ttime_mean,ttime_min,ttime_sd,urban_gc,water_gc
"51340","72","220","-70.25","-54.25","1.8661755","0.8","0.8","0.8","0","108","108","108","0","962.80743",,"872","508.69727","263","104.68853","0","48.968693"
"51341","72","221","-69.75","-54.25","1.8518518","0.8","0.8","0.8","0","108","108","108","0","1205.9424",,"1397","710.75073","367","229.48041","0","36.42284"
"51342","72","222","-69.25","-54.25","2.4722223","0.8","0.8","0.8","0","108","108","108","0","1457.3661",,"1328","787.94824","353","233.11389","0","25.296297"
"51343","72","223","-68.75","-54.25","4.126543","5","1.8573427","0.8","1.8228729","108","99.69231","75","14.322573","1804.2051",,"1245","703.4809","114","286.50308","0","3.601852"
"51344","72","224","-68.25","-54.25","9.953704","5","5","5","0","75","75","75","0","1805.9493",,"1035","514.6064","76","241.54526","0","0.030864198"
"51345","72","225","-67.75","-54.25","3.2530863","5","5","5","0","75","75","75","0","1805.9493",,"751","283.02585","49","164.00525","0","5.388889"
"51346","72","226","-67.25","-54.25","5.867284","5","5","5","0","75","75","75","0","1520.3579",,"790","372.51172","164","127.600296","0","15.839506"
"51347","72","227","-66.75","-54.25","1.9783951","5","5","5","0","75","75","75","0","762.1415",,"1024","540.06415","239","195.96255","0","58.20062"
"51348","72","228","-66.25","-54.25","0.083798885","5","5","5","0","75","75","75","0","38.03429",,"539","502.66666","451","24.235313","0","98.994415"
"51798","72","678","158.75","-54.25","0",,,,,,,,,"5.345961",,"2842","2826.8","2807","15.548634","0","100"
"52053","73","213","-73.75","-53.75","0.043209877","0.8","0.8","0.8","0","108","108","108","0","218.77959",,"1201","1072.4303","984","48.87538","0","93.27778"
"52054","73","214","-73.25","-53.75","0.22530864","0.8","0.8","0.8","0","108","108","108","0","1139.9275",,"1210","1005.20886","836","65.874504","0","70.80864"
"52055","73","215","-72.75","-53.75","0.8148148","0.8","0.8","0.8","0","108","108","108","0","1370.937",,"1158","919.4605","588","105.65059","0","30.808641"
"52056","73","216","-72.25","-53.75","2.8425925","0.8","0.8","0.8","0","108","108","108","0","1020.93005",,"871","599.44073","398","105.60483","0","41.651234"
"52057","73","217","-71.75","-53.75","3.466791","0.8","0.8","0.8","0","108","108","108","0","1322.0032",,"1431","659.77606","298","222.1846","0","34.32961"
